,pH,Sample Depth (cm),Sedimentation Time (mins),Soil Type,Ambient Temp,Soil Temp,Slope,Water Content
1,7.0,100,9,Silt,12.0,11,5,10.0
2,7.0,100,3,Sand,13.0,10,3,9.6
3,7.0,100,20,Silt,13.0,11,2,10
4,6.0,30,15,Silt & Humus,12,11,2,5.0
5,6.0,100,50,Clay,12.0,10,20,30.0
6,5.5,100,46,Clay,10.0,9,20,25.0
7,5.5,50,3,Stony & Sand,11.0,10,45,6.0
8,6.0,40,17,Silt & Clay,10.0,8,40,nan
9,6.0,46,45,Clay,9.0,8,1,8.0
10,5.5,55,16,Silt & Clay,8.0,8,3,9.0
11,6.5,49,49,Clay,9.0,7.5,3,10.0
12,7.0,52,57,Clay,7.0,5,0,9.0
