, Distance (m), Height (m), pH,Sample Depth (cm),Sedimentation Time (mins),Soil Type,Ambient Temp,Soil Temp,Slope,Water Content
1, 0, 200, 7.0,13,2,Gravel,9,nan,30,12.2
2, 73, 100, 6.0,18,4,Gravel & Sand,9,nan,4,12.4
3, 163, 180, 6.0,30,6,Gravel & Sand,10,nan,14,12
4, 205, 150, 50,10,11, Silt & Sand, nan,nan,11, 12.4
5, 284, 100, 5.0,80,15,Clay & Silt,11,nan,0,13
6, 389, 100, 4.0,100,30,Clay,11.5,nan,0,40
7, 436, 140, 5.0,60,18,Clay & Silt,11,nan,45,10
8, 472, 180, 6.0,55,15,Clay & Silt,11,nan,45,10
9, 561, 300, 6.0,65,26,Clay,10,nan,43,11.2
10,603, 400, 6.0,40,19,Clay & Silt,10,nan,45,10
11, 634, 500, 7.0,40,14,Clay & Silt,9.5,nan,46,8.4
